1,james_bond_007,,Franchise
2,planet_of_the_apes,,Franchise
3,the_exorcist,,Franchise
4,rocky,,Franchise
5,star_wars_saga,,Franchise
6,superman_the_movie,,Franchise
7,alien,,Franchise
8,indiana_jones,,Franchise
9,blade_runner,,Franchise
10,star_trek,,Franchise
11,terminator,,Franchise
12,ghostbusters,,Franchise
13,a_nightmare_on_elm_street,,Franchise
14,lethal_weapon,,Franchise
15,naked_gun,,Franchise
16,bill_and_ted,,Franchise
17,batman_movies,,Franchise
18,tmnt,,Franchise
19,pixar,,Franchise
20,austin_powers,,Franchise
21,the_x_files,,Franchise
22,x_men,,Franchise
23,lord_of_the_rings,,Franchise
24,harry_potter,,Franchise
25,bridget_jones,,Franchise
26,the_bourne_collection,,Franchise
27,barbershop,,Franchise
28,ice_age,,Franchise
29,pirates_of_the_caribbean,,Franchise
30,marvel_cinematic_universe,,Franchise
31,kung_fu_panda,,Franchise
32,despicable_me,,Franchise
33,the_hunger_games,,Franchise
34,dc_comics,,Franchise
35,saw,,Franchise
36,tyler_perrys_madea,,Franchise
37,transformers,,Franchise
38,sharknado,,Franchise
39,chucky,,Franchise
40,the_fast_and_the_furious,,Franchise
41,resident_evil,,Franchise
42,purge,,Franchise
43,divergent,,Franchise
44,the_walking_dead,,Franchise
45,arrowverse,,Franchise
46,1000626-all_about_eve,,Movie
47,sunset_boulevard,,Movie
48,rashomon,,Movie
49,1020333-streetcar_named_desire,,Movie
50,the_african_queen_1951,,Movie
51,american_in_paris,,Movie
52,strangers_on_a_train,,Movie
53,1005371-day_the_earth_stood_still,,Movie
54,singin_in_the_rain,,Movie
55,1046060-high_noon,,Movie
56,tokyo_story,,Movie
57,wages_of_fear,,Movie
58,roman_holiday,,Movie
59,gentlemen_prefer_blondes,,Movie
60,1007931-from_here_to_eternity,,Movie
61,1017289-rear_window,,Movie
62,on_the_waterfront,,Movie
63,johnny_guitar,,Movie
64,dial_m_for_murder,,Movie
65,night_of_the_hunter,,Movie
66,pather_panchali,,Movie
67,rebel_without_a_cause,,Movie
